,ExpDate,StrikePrice,Ticker,Type,Last,Chg,Bid,Ask,Vol,Open Int,Delta,Gamma,Rho,Theta,Vega,currentDate,Implied volatility,Underlying asset price,Expiration time,new_index
6802,3/17/17,115,TLT,Put,0.22,-0.03,0.2,0.24,1740,45490,-0.09681,0.03672,-0.00792,-0.0153,0.07546,2/17/17,0.13896,120.32,0.076659822,814
6803,3/17/17,116,TLT,Put,0.34,-0.07,0.31,0.36,180,5214,-0.14112,0.04847,-0.01204,-0.01898,0.07699,2/17/17,0.13201,120.32,0.076659822,815
6804,3/17/17,117,TLT,Put,0.5,-0.11,0.49,0.53,1036,6500,-0.21809,0.05908,-0.01737,-0.03036,0.09652,2/17/17,0.13686,120.32,0.076659822,816
6806,3/17/17,119,TLT,Put,1.09,-0.26,1.1,1.13,2591,8648,-0.35742,0.07153,-0.02912,-0.03569,0.12522,2/17/17,0.13765,120.32,0.076659822,817
6807,3/17/17,120,TLT,Put,1.52,-0.37,1.52,1.57,6147,11046,-0.42503,0.08354,-0.03157,-0.03509,0.12734,2/17/17,0.13267,120.32,0.076659822,818
6808,3/17/17,121,TLT,Put,2.07,-0.23,2.07,2.12,267,13156,-0.50648,0.08678,-0.03481,-0.03455,0.1301,2/17/17,0.14176,120.32,0.076659822,819
6825,3/24/17,115.5,TLT,Put,0.36,-0.02,0.34,0.37,14,250,-0.16934,0.0435,-0.01821,-0.02207,0.0872,2/17/17,0.13147,120.32,0.095824778,820
6827,3/24/17,117,TLT,Put,0.63,-0.12,0.61,0.65,21,119,-0.20906,0.05894,-0.02076,-0.02238,0.09935,2/17/17,0.1322,120.32,0.095824778,821
6832,3/24/17,120,TLT,Put,1.74,-0.08,1.67,1.73,8,67,-0.41891,0.08635,-0.03884,-0.02617,0.1419,2/17/17,0.14289,120.32,0.095824778,822
6850,4/21/17,130,TLT,Call,0.21,0.05,0.17,0.2,1,1032,0.05369,0.02084,0.01132,-0.00583,0.07834,2/17/17,0.11864,120.32,0.1724846,823
6851,4/21/17,132,TLT,Call,0.11,0.01,0.1,0.12,4,313,0.04411,0.01531,0.00924,-0.0057,0.07642,2/17/17,0.12109,120.32,0.1724846,824
6852,4/21/17,109,TLT,Put,0.11,-0.01,0.09,0.11,6,190,-0.05898,0.01404,-0.0118,-0.00847,0.04681,2/17/17,0.14511,120.32,0.1724846,825
6854,4/21/17,112,TLT,Put,0.29,-0.02,0.24,0.28,237,30272,-0.08136,0.02164,-0.0149,-0.00869,0.10509,2/17/17,0.14153,120.32,0.1724846,826
6855,4/21/17,113,TLT,Put,0.37,-0.03,0.34,0.38,477,15758,-0.10903,0.02666,-0.02071,-0.01017,0.10721,2/17/17,0.13675,120.32,0.1724846,827
6858,4/21/17,116,TLT,Put,0.91,-0.1,0.87,0.92,108,1834,-0.21416,0.0438,-0.03609,-0.01672,0.17366,2/17/17,0.14222,120.32,0.1724846,828
6863,4/21/17,121,TLT,Put,2.75,-0.48,2.91,2.99,1,371,-0.48204,0.05841,-0.07392,-0.02147,0.19373,2/17/17,0.13591,120.32,0.1724846,829
6865,4/21/17,123,TLT,Put,4.1,-0.42,4.2,4.35,1,182,-0.59648,0.06038,-0.08802,-0.01792,0.19759,2/17/17,0.14768,120.32,0.1724846,830
